code,area,year,domestic_consumers _sales_GWh,domestic_ consumers_number_of_consumers_(thousands),commercial_and_industrial_consumers_sales_GWh,commercial_and_industrial_consumers_number_of_consumers_(thousands),all_consumers_sales_GWh,all_consumers_number_of_consumers_(thousands),sales_per_consumer_domestic_kWh,sales_per_consumer_commercial_and_industrial_kWh,
E09000023,Lewisham,2009,992,71,916,3,1908,74,13941,363625,
E09000024,Merton,2009,977,58,272,1,1249,59,16731,310597,
E09000025,Newham,2009,1574,118,753,1,2327,120,13300,551929,
E09000026,Redbridge,2009,1493,107,272,1,1765,108,13920,286295,
E09000027,Richmond upon Thames,2009,1174,75,347,1,1521,76,15624,342881,
E09000028,Southwark,2009,1226,92,1296,1,2522,93,13326,1528301,
E09000029,Sutton,2009,1591,93,287,1,1878,94,17146,322430,
E09000030,Tower Hamlets,2009,1320,77,393,1,1713,78,17135,336256,
E09000031,Waltham Forest,2009,1183,103,990,2,2174,104,11530,637355,
E09000032,Wandsworth,2009,1149,71,275,1,1424,71,16290,346942,
E09000033,Westminster,2009,805,76,688,1,1494,77,10596,583454,
E12000001,North East,2009,1337,91,295,1,1632,92,14681,357444,
E12000002,North West,2009,1701,118,661,2,2362,120,14380,439789,
E12000003,Yorkshire and the Humber,2009,1100,89,2689,5,3788,95,12298,510257,
E12000004,East Midlands,2009,16918,1077,9465,12,26384,1089,15715,775011,
E12000005,Wes tMidlands,2009,44105,2824,25895,35,70000,2859,15616,740003,
E12000006,East,2009,32690,2074,22132,26,54822,2100,15760,857165,
E12000007,London,2009,26490,1705,14771,20,41261,1726,15532,734326,
E12000008,South East,2009,31547,2060,16279,26,47827,2085,15315,638357,
E12000009,South West,2009,30756,1993,16965,24,47720,2017,15434,701695,
W92000012,Wales,2009,44939,2982,22448,45,67387,3027,15070,500699,
S92000011,Scotland,2009,48311,3110,19167,43,67478,3152,15536,450448,
K03000009,Great Britain,2009,24048,1762,11425,21,35473,1783,13650,546367,
E09000001,City of London,2009,16587,1092,10403,12,26989,1104,15187,903327,
E09000002,Barking and Dagenham,2009,30730,1885,20378,26,51108,1911,16300,788367,
E09000003,Barnet,2009,347410,22584,191648,289,539058,22873,15383,663764,
E09000004,Bexley,2010,35,3,864,1,899,4,13272,835570,
E09000005,Brent,2010,825,65,221,0,1046,66,12599,444816,
E09000006,Bromley,2010,2387,126,589,2,2976,128,19007,252202,
E09000007,Camden,2010,1380,89,738,1,2118,89,15571,1114712,
E09000008,Croydon,2010,1700,102,517,1,2217,103,16738,421478,
E09000009,Ealing,2010,2232,128,414,1,2646,129,17454,295046,
E09000010,Enfield,2010,1070,79,1434,3,2504,82,13510,502882,
E09000011,Greenwich,2010,2225,136,493,2,2718,137,16368,324957,
E09000012,Hackney,2010,1860,118,747,2,2607,119,15822,495874,
E09000013,Hammersmith and Fulham,2010,1723,107,565,1,2289,108,16145,486627,
E09000014,Haringey,2010,1271,92,1084,1,2356,93,13749,1178489,
E09000015,Harrow,2010,1103,90,274,1,1377,91,12243,287193,
E09000016,Havering,2010,1005,75,637,1,1642,76,13470,637472,
E09000017,Hillingdon,2010,1434,95,335,1,1770,97,15026,294504,
E09000018,Hounslow,2010,1534,81,545,1,2079,82,18827,568475,
E09000019,Islington,2010,1509,94,232,1,1741,95,15976,282629,
E09000020,Kensington and Chelsea,2010,1574,97,1352,1,2925,98,16299,1117159,
E09000021,Kingston upon Thames,2010,1282,83,674,1,1956,84,15493,599220,
E09000022,Lambeth,2010,1034,87,615,1,1650,89,11843,472563,
E09000023,Lewisham,2010,994,71,949,3,1944,73,14035,371089,
E09000024,Merton,2010,975,59,279,1,1254,59,16650,319988,
E09000025,Newham,2010,1556,118,795,1,2351,120,13137,598988,
E09000026,Redbridge,2010,1482,108,272,1,1754,109,13767,294856,
E09000027,Richmond upon Thames,2010,1167,75,351,1,1518,76,15522,341705,
E09000028,Southwark,2010,1217,92,1316,1,2534,93,13228,1579886,
E09000029,Sutton,2010,1587,93,263,1,1849,94,17076,292928,
E09000030,Tower Hamlets,2010,1322,77,372,1,1694,78,17141,323940,
E09000031,Waltham Forest,2010,1168,103,1005,1,2173,104,11378,674772,
E09000032,Wandsworth,2010,1140,71,259,1,1399,71,16165,331905,
E09000033,Westminster,2010,797,76,703,1,1500,77,10479,591514,
E12000001,North East,2010,1327,91,332,1,1659,92,14542,403929,
E12000002,North West,2010,1685,119,682,2,2367,120,14217,451015,
E12000003,Yorkshire and the Humber,2010,1098,89,2813,5,3911,95,12280,535034,
E12000004,East Midlands,2010,16620,1081,9478,12,26099,1093,15378,794974,
E12000005,Wes tMidlands,2010,43160,2834,26673,34,69833,2868,15232,782190,
E12000006,East,2010,32486,2083,22541,26,55027,2109,15595,881271,
E12000007,London,2010,26449,1715,14816,20,41264,1735,15423,744352,
E12000008,South East,2010,31161,2068,16743,25,47905,2093,15067,670808,
E12000009,South West,2010,30751,2005,17361,24,48113,2029,15341,724055,
W92000013,Wales,2010,44701,2988,22722,44,67423,3032,14962,513387,
S92000012,Scotland,2010,48158,3131,21257,42,69415,3173,15382,506949,
K03000010,Great Britain,2010,23920,1780,11368,21,35287,1801,13439,550766,
E09000001,City of London,2010,16142,1100,10327,11,26469,1111,14674,918636,
E09000002,Barking and Dagenham,2010,30330,1905,22860,25,53190,1931,15919,900672,
E09000003,Barnet,2010,344321,22719,196321,284,540642,23003,15156,690933,
E09000004,Bexley,2011,776,66,241,0,1017,66,11797,502881,
E09000005,Brent,2011,2260,126,548,2,2808,128,17897,250829,
E09000006,Bromley,2011,1288,89,772,1,2060,89,14504,1210123,
E09000007,Camden,2011,1601,102,521,1,2123,103,15707,447639,
E09000008,Croydon,2011,2099,128,394,1,2492,130,16367,292911,
E09000009,Ealing,2011,1010,80,1464,3,2474,82,12693,525816,
E09000010,Enfield,2011,34,3,797,1,831,4,12667,796611,
E09000011,Greenwich,2011,2104,137,462,1,2566,138,15411,331091,
E09000012,Hackney,2011,1747,118,759,1,2506,119,14819,515564,
E09000013,Hammersmith and Fulham,2011,1614,107,605,1,2219,108,15076,527148,
E09000014,Haringey,2011,1192,92,1025,1,2217,93,12915,1137378,
E09000015,Harrow,2011,1035,91,278,1,1313,92,11398,290191,
E09000016,Havering,2011,935,75,616,1,1551,76,12500,633761,
E09000017,Hillingdon,2011,1341,96,333,1,1674,97,13973,308953,
E09000018,Hounslow,2011,1454,82,476,1,1930,83,17801,520935,
E09000019,Islington,2011,1406,95,220,1,1626,96,14788,271385,
E09000020,Kensington and Chelsea,2011,1479,97,984,1,2463,98,15271,839500,
E09000021,Kingston upon Thames,2011,1206,83,646,1,1853,84,14493,595754,
E09000022,Lambeth,2011,965,88,581,1,1547,89,10998,465791,
E09000023,Lewisham,2011,938,71,912,2,1851,74,13178,374832,
E09000024,Merton,2011,920,59,248,1,1168,60,15617,312257,
E09000025,Newham,2011,1469,119,825,1,2294,120,12329,632740,
E09000026,Redbridge,2011,1391,108,319,1,1710,109,12847,356471,
E09000027,Richmond upon Thames,2011,1106,76,333,1,1439,77,14606,350185,
E09000028,Southwark,2011,1155,93,1365,1,2520,94,12467,1558084,
E09000029,Sutton,2011,1494,93,240,1,1734,94,16023,288668,
E09000030,Tower Hamlets,2011,1241,77,349,1,1590,79,16021,320229,
E09000031,Waltham Forest,2011,1103,103,915,1,2018,105,10693,631010,
E09000032,Wandsworth,2011,1076,71,250,1,1326,72,15114,344341,
E09000033,Westminster,2011,754,77,742,1,1496,78,9828,615562,
E12000001,North East,2011,1254,92,296,1,1550,93,13644,366293,
E12000002,North West,2011,1591,119,637,1,2228,121,13353,448853,
E12000003,Yorkshire and the Humber,2011,1038,90,2683,5,3721,95,11541,523476,
E12000004,East Midlands,2011,15616,1083,8768,12,24383,1094,14420,762154,
E12000005,Wes tMidlands,2011,40475,2846,26261,33,66735,2879,14219,806952,
E12000006,East,2011,30883,2090,21877,25,52759,2115,14775,874782,
E12000007,London,2011,25007,1726,14307,19,39313,1745,14489,739128,
E12000008,South East,2011,29548,2076,16258,24,45805,2101,14230,665702,
E12000009,South West,2011,28852,2019,16374,23,45226,2042,14294,704647,
W92000014,Wales,2011,42078,3002,21837,43,63915,3045,14017,511916,
S92000013,Scotland,2011,45345,3145,20065,40,65410,3186,14416,497296,
K03000011,Great Britain,2011,22223,1792,10871,20,33094,1812,12401,548132,
E09000001,City of London,2011,14997,1104,9691,11,24688,1114,13590,893336,
E09000002,Barking and Dagenham,2011,28959,1922,22179,25,51137,1947,15064,898734,
E09000003,Barnet,2011,324430,22839,188736,275,513166,23113,14205,686988,
E09000004,Bexley,2012,32,3,768,1,800,4,11980,785032,
E09000005,Brent,2012,764,66,219,0,983,66,11620,461032,
E09000006,Bromley,2012,2245,126,545,2,2791,129,17751,251383,
E09000007,Camden,2012,1291,89,730,1,2021,89,14550,1147993,
E09000008,Croydon,2012,1575,102,531,1,2106,103,15440,467596,
E09000009,Ealing,2012,2106,128,404,1,2510,130,16392,311313,
E09000010,Enfield,2012,994,80,1464,3,2458,82,12493,525046,
E09000011,Greenwich,2012,2090,137,459,1,2550,138,15268,337371,
E09000012,Hackney,2012,1728,118,736,1,2464,119,14675,504733,
E09000013,Hammersmith and Fulham,2012,1607,107,512,1,2119,108,14996,464599,
E09000014,Haringey,2012,1181,92,732,1,1913,93,12801,846155,
E09000015,Harrow,2012,1013,91,311,1,1324,92,11152,323279,
E09000016,Havering,2012,920,75,619,1,1539,76,12297,650274,
E09000017,Hillingdon,2012,1317,96,332,1,1649,97,13712,310824,
E09000018,Hounslow,2012,1444,82,507,1,1951,83,17639,549237,
E09000019,Islington,2012,1404,95,234,1,1637,96,14749,309852,
E09000020,Kensington and Chelsea,2012,1474,97,991,1,2466,98,15224,869378,
E09000021,Kingston upon Thames,2012,1194,83,643,1,1837,84,14373,612294,
E09000022,Lambeth,2012,947,88,633,1,1580,89,10793,511826,
E09000023,Lewisham,2012,918,71,1112,2,2030,73,12933,453532,
E09000024,Merton,2012,921,59,254,1,1174,60,15573,320897,
E09000025,Newham,2012,1448,120,815,1,2264,121,12113,625785,
E09000026,Redbridge,2012,1372,109,273,1,1646,110,12617,317207,
E09000027,Richmond upon Thames,2012,1098,76,320,1,1417,77,14485,337814,
E09000028,Southwark,2012,1121,93,1019,1,2140,94,12073,1193214,
E09000029,Sutton,2012,1485,93,259,1,1744,94,15894,309814,
E09000030,Tower Hamlets,2012,1240,78,354,1,1594,79,15993,318659,
E09000031,Waltham Forest,2012,1080,103,981,1,2062,104,10529,679679,
E09000032,Wandsworth,2012,1077,71,246,1,1323,72,15111,345536,
E09000033,Westminster,2012,732,77,737,1,1468,78,9522,632767,
E12000001,North East,2012,1242,92,322,1,1565,93,13489,429138,
E12000002,North West,2012,1584,119,604,1,2188,121,13282,428464,
E12000003,Yorkshire and the Humber,2012,1015,90,2711,5,3726,95,11317,543040,
E12000004,East Midlands,2012,15668,1086,8591,11,24259,1097,14433,747343,
E12000005,Wes tMidlands,2012,40245,2864,26238,32,66483,2896,14053,820942,
E12000006,East,2012,30480,2094,22185,24,52665,2119,14554,909909,
E12000007,London,2012,24870,1734,14342,19,39212,1753,14343,760073,
E12000008,South East,2012,29210,2080,16073,24,45283,2104,14040,678883,
E12000009,South West,2012,28804,2026,15794,23,44598,2049,14218,695260,
W92000015,Wales,2012,41660,3004,21378,42,63038,3046,13868,509234,
S92000014,Scotland,2012,45345,3153,18700,40,64045,3193,14382,468354,
K03000012,Great Britain,2012,22433,1807,11019,20,33452,1827,12414,553730,
E09000001,City of London,2012,14905,1105,9371,11,24276,1116,13484,870658,
E09000002,Barking and Dagenham,2012,28802,1944,21729,25,50531,1969,14812,883124,
E09000003,Barnet,2012,323186,22960,186860,272,510047,23232,14076,687457,
E09000004,Bexley,2013,32,3,748,1,780,4,12179,761259,
E09000005,Brent,2013,747,66,210,0,957,66,11366,435935,
E09000006,Bromley,2013,2218,127,547,2,2765,129,17520,252251,
E09000007,Camden,2013,1260,89,728,1,1989,89,14195,1145335,
E09000008,Croydon,2013,1564,102,562,1,2126,103,15313,487102,
E09000009,Ealing,2013,2075,129,413,1,2488,130,16087,320790,
E09000010,Enfield,2013,983,80,1501,3,2485,82,12364,542392,
E09000011,Greenwich,2013,2062,137,447,1,2509,139,15027,323542,
E09000012,Hackney,2013,1710,118,743,1,2453,119,14503,502956,
E09000013,Hammersmith and Fulham,2013,1582,107,545,1,2127,108,14761,477653,
E09000014,Haringey,2013,1152,92,425,1,1576,93,12460,488007,
E09000015,Harrow,2013,998,91,341,1,1339,92,10934,342386,
E09000016,Havering,2013,909,75,580,1,1489,76,12138,587704,
E09000017,Hillingdon,2013,1300,96,332,1,1633,97,13485,307535,
E09000018,Hounslow,2013,1437,82,420,1,1857,83,17512,439147,
E09000019,Islington,2013,1366,95,227,1,1594,96,14341,304151,
E09000020,Kensington and Chelsea,2013,1457,97,959,1,2416,98,14992,840440,
E09000021,Kingston upon Thames,2013,1182,83,621,1,1803,84,14203,571323,
E09000022,Lambeth,2013,930,88,610,1,1540,89,10583,478664,
E09000023,Lewisham,2013,910,71,915,2,1825,73,12854,371728,
E09000024,Merton,2013,911,59,256,1,1166,60,15358,315848,
E09000025,Newham,2013,1423,120,857,1,2280,121,11871,639533,
E09000026,Redbridge,2013,1346,109,270,1,1616,110,12351,303644,
E09000027,Richmond upon Thames,2013,1086,76,327,1,1413,77,14303,339061,
E09000028,Southwark,2013,1103,93,1041,1,2144,94,11864,1140467,
E09000029,Sutton,2013,1461,94,245,1,1706,95,15597,295341,
E09000030,Tower Hamlets,2013,1225,78,383,1,1608,79,15764,349159,
E09000031,Waltham Forest,2013,1061,102,996,1,2057,104,10364,674715,
E09000032,Wandsworth,2013,1062,71,240,1,1302,72,14881,326121,
E09000033,Westminster,2013,726,77,731,1,1457,78,9391,600075,
E12000001,North East,2013,1223,92,310,1,1533,93,13226,407822,
E12000002,North West,2013,1558,120,636,1,2195,121,13036,453936,
E12000003,Yorkshire and the Humber,2013,1004,89,2714,5,3718,94,11228,542565,
E12000004,East Midlands,2013,15301,1089,8600,12,23902,1101,14045,737090,
E12000005,Wes tMidlands,2013,39022,2876,25618,32,64640,2908,13568,805173,
E12000006,East,2013,29506,2103,22043,24,51549,2127,14030,904784,
E12000007,London,2013,24292,1745,13975,19,38266,1764,13919,735561,
E12000008,South East,2013,28395,2089,16288,24,44682,2113,13590,683642,
E12000009,South West,2013,28259,2040,15364,23,43622,2063,13850,669940,
W92000016,Wales,2013,41065,3009,20882,43,61946,3052,13647,491159,
S92000015,Scotland,2013,44491,3169,18218,40,62709,3209,14040,455026,
K03000013,Great Britain,2013,22099,1822,10760,20,32858,1842,12128,537682,
E09000001,City of London,2013,14477,1111,8976,11,23453,1122,13029,833518,
E09000002,Barking and Dagenham,2013,28073,1965,20574,24,48647,1989,14287,849129,
E09000003,Barnet,2013,315656,23074,182746,273,498402,23347,13680,670216,
E09000004,Bexley,2014,29,2,641,1,669,3,11621,744769,
E09000005,Brent,2014,725,66,219,0,944,66,11052,476506,
E09000006,Bromley,2014,2154,127,545,2,2699,129,17018,270239,
E09000007,Camden,2014,1216,89,729,1,1945,89,13704,1213001,
E09000008,Croydon,2014,1516,102,550,1,2066,103,14870,502201,
E09000009,Ealing,2014,2005,129,391,1,2396,130,15546,317510,
E09000010,Enfield,2014,950,79,1284,3,2234,81,12045,512961,
E09000011,Greenwich,2014,2006,138,408,1,2414,139,14523,321306,
E09000012,Hackney,2014,1654,118,741,1,2395,119,14068,547486,
E09000013,Hammersmith and Fulham,2014,1530,107,523,1,2052,108,14269,491393,
E09000014,Haringey,2014,1114,92,990,1,2105,93,12079,1181932,
E09000015,Harrow,2014,966,91,309,1,1275,92,10561,319466,
E09000016,Havering,2014,877,75,506,1,1384,76,11734,553498,
E09000017,Hillingdon,2014,1250,96,309,1,1559,97,13043,309639,
E09000018,Hounslow,2014,1403,82,362,1,1766,83,17057,423349,
E09000019,Islington,2014,1323,96,216,1,1539,96,13817,303190,
E09000020,Kensington and Chelsea,2014,1420,97,811,1,2232,99,14574,768275,
E09000021,Kingston upon Thames,2014,1150,83,613,1,1762,84,13832,591896,
E09000022,Lambeth,2014,896,87,614,1,1510,89,10248,522187,
E09000023,Lewisham,2014,876,70,915,2,1791,73,12459,381047,
E09000024,Merton,2014,884,60,235,1,1119,60,14803,312439,
E09000025,Newham,2014,1369,119,765,1,2134,121,11453,593168,
E09000026,Redbridge,2014,1303,109,262,1,1566,110,11936,318077,
E09000027,Richmond upon Thames,2014,1052,76,314,1,1365,77,13816,349951,
E09000028,Southwark,2014,1072,93,917,1,1989,94,11545,1058861,
E09000029,Sutton,2014,1418,94,230,1,1649,95,15116,299192,
E09000030,Tower Hamlets,2014,1190,78,345,1,1535,79,15292,339779,
E09000031,Waltham Forest,2014,1022,102,829,1,1851,103,10055,604557,
E09000032,Wandsworth,2014,1028,71,212,1,1241,72,14397,318033,
E09000033,Westminster,2014,683,75,616,1,1299,76,9120,542764,
E12000001,North East,2014,1188,93,293,1,1481,93,12828,383397,
E12000002,North West,2014,1506,120,592,1,2098,121,12578,449016,
E12000003,Yorkshire and the Humber,2014,926,85,2115,4,3041,89,10854,516110,
E12000004,East Midlands,2014,14759,1094,7620,11,22379,1105,13487,711367,
E12000005,Wes tMidlands,2014,37397,2885,23808,29,61205,2914,12961,823752,
E12000006,East,2014,28805,2109,19797,23,48601,2132,13656,877194,
E12000007,London,2014,23722,1757,13377,18,37099,1774,13505,750566,
E12000008,South East,2014,27800,2097,15905,22,43705,2119,13256,712519,
E12000009,South West,2014,27471,2051,14227,21,41698,2071,13396,685674,
W92000017,Wales,2014,39701,3001,19401,39,59102,3040,13228,510218,
S92000016,Scotland,2014,43371,3176,16399,37,59769,3213,13655,443867,
K03000014,Great Britain,2014,21526,1831,10682,18,32207,1850,11753,585161,
E09000001,City of London,2014,13851,1108,8280,9,22132,1118,12497,879840,
E09000002,Barking and Dagenham,2014,27390,1974,18903,22,46294,1997,13872,843030,
E09000003,Barnet,2014,307832,23239,187824,266,495656,23505,13246,705903,
E09000004,Bexley,2015,30,3,854,1,885,4,11945,856181,
E09000005,Brent,2015,734,66,244,1,978,66,11166,484529,
E09000006,Bromley,2015,2171,127,564,2,2735,129,17073,266610,
E09000007,Camden,2015,1242,89,707,1,1949,90,13917,1112809,
E09000008,Croydon,2015,1533,103,572,1,2104,104,14916,485288,
E09000009,Ealing,2015,2060,130,409,1,2470,131,15873,319978,
E09000010,Enfield,2015,955,79,1395,3,2350,82,12067,518160,
E09000011,Greenwich,2015,2058,139,433,1,2490,140,14819,327042,
E09000012,Hackney,2015,1658,118,747,1,2405,120,14014,530809,
E09000013,Hammersmith and Fulham,2015,1546,108,530,1,2076,109,14335,481393,
E09000014,Haringey,2015,1135,93,441,1,1576,94,12244,503987,
E09000015,Harrow,2015,965,92,340,1,1305,93,10547,330009,
E09000016,Havering,2015,874,75,591,1,1465,76,11660,594393,
E09000017,Hillingdon,2015,1263,97,315,1,1578,98,13062,298750,
E09000018,Hounslow,2015,1417,83,344,1,1760,84,17114,379755,
E09000019,Islington,2015,1336,97,237,1,1573,97,13839,312980,
E09000020,Kensington and Chelsea,2015,1424,98,738,1,2161,99,14530,647834,
E09000021,Kingston upon Thames,2015,1150,84,616,1,1766,85,13757,564272,
E09000022,Lambeth,2015,899,88,639,1,1538,89,10262,510879,
E09000023,Lewisham,2015,870,70,895,2,1765,73,12407,374580,
E09000024,Merton,2015,896,60,245,1,1141,61,14911,328340,
E09000025,Newham,2015,1386,120,870,1,2256,121,11567,637778,
E09000026,Redbridge,2015,1334,110,377,1,1711,111,12166,443562,
E09000027,Richmond upon Thames,2015,1072,76,320,1,1392,77,14020,334831,
E09000028,Southwark,2015,1083,93,985,1,2068,94,11604,1061171,
E09000029,Sutton,2015,1429,94,242,1,1671,95,15202,291571,
E09000030,Tower Hamlets,2015,1181,78,317,1,1498,79,15147,299156,
E09000031,Waltham Forest,2015,1040,102,997,1,2037,103,10191,679139,
E09000032,Wandsworth,2015,1048,72,244,1,1293,72,14610,355100,
E09000033,Westminster,2015,702,77,741,1,1443,78,9115,584371,
E12000001,North East,2015,1197,93,288,1,1485,94,12857,380367,
E12000002,North West,2015,1518,120,615,1,2134,122,12640,443532,
E12000003,Yorkshire and the Humber,2015,966,88,2498,5,3465,93,10936,513430,
E12000004,East Midlands,2015,14768,1104,8282,11,23050,1116,13372,745206,
E12000005,Wes tMidlands,2015,37374,2908,25013,31,62387,2938,12853,819738,
E12000006,East,2015,29016,2127,21188,24,50203,2150,13644,887515,
E12000007,London,2015,23831,1777,14166,19,37997,1796,13408,756028,
E12000008,South East,2015,27919,2116,17323,23,45242,2139,13195,739828,
E12000009,South West,2015,28031,2075,15307,22,43338,2098,13507,687451,
W92000018,Wales,2015,40172,3020,20350,42,60522,3061,25998,963147,
S92000017,Scotland,2015,44073,3211,18074,40,62147,3251,13725,456456,
K03000015,Great Britain,2015,21689,1857,11186,20,32874,1877,11679,569007,
E09000001,City of London,2015,13814,1124,9012,10,22826,1134,12291,863709,
E09000002,Barking and Dagenham,2015,27315,1999,19563,24,46879,2023,13662,829122,
E09000003,Barnet,2015,308851,23395,181677,267,490528,23662,13202,679348,
E09000004,Bexley,2016,30,3,773,1,803,4,11680,788215,
E09000005,Brent,2016,738,66,220,0,958,67,11122,449125,
E09000006,Bromley,2016,2163,128,525,2,2688,130,16852,255324,
E09000007,Camden,2016,1222,90,695,1,1917,91,13549,1101853,
E09000008,Croydon,2016,1523,103,537,1,2060,104,14765,465297,
E09000009,Ealing,2016,2016,131,385,1,2401,132,15451,299321,
E09000010,Enfield,2016,947,79,1470,3,2417,82,11966,546236,
E09000011,Greenwich,2016,2019,140,446,1,2465,141,14462,338483,
E09000012,Hackney,2016,1652,119,686,1,2338,120,13916,492138,
E09000013,Hammersmith and Fulham,2016,1539,108,503,1,2042,110,14192,452756,
E09000014,Haringey,2016,1118,93,467,1,1585,94,12013,534111,
E09000015,Harrow,2016,968,92,333,1,1301,93,10520,324138,
E09000016,Havering,2016,875,75,552,1,1427,76,11658,548633,
E09000017,Hillingdon,2016,1255,97,349,1,1604,98,12965,338543,
E09000018,Hounslow,2016,1411,83,248,1,1659,84,16913,268358,
E09000019,Islington,2016,1330,97,230,1,1559,98,13672,300905,
E09000020,Kensington and Chelsea,2016,1427,99,678,1,2105,100,14453,603895,
E09000021,Kingston upon Thames,2016,1158,84,601,1,1759,86,13718,557094,
E09000022,Lambeth,2016,896,88,681,1,1577,89,10222,554041,
E09000023,Lewisham,2016,867,70,870,2,1737,72,12403,365043,
E09000024,Merton,2016,883,60,232,1,1116,61,14662,302299,
E09000025,Newham,2016,1370,120,832,1,2202,122,11391,606268,
E09000026,Redbridge,2016,1314,110,350,1,1665,111,11944,409901,
E09000027,Richmond upon Thames,2016,1056,77,303,1,1359,78,13763,318865,
E09000028,Southwark,2016,1079,93,935,1,2014,94,11554,1046992,
E09000029,Sutton,2016,1429,94,229,1,1658,95,15126,281472,
E09000030,Tower Hamlets,2016,1183,78,312,1,1495,79,15104,298362,
E09000031,Waltham Forest,2016,1027,102,990,1,2017,104,10049,664097,
E09000032,Wandsworth,2016,1031,72,231,1,1263,73,14316,329569,
E09000033,Westminster,2016,698,77,744,1,1442,78,9061,587792,
E12000001,North East,2016,1192,93,280,1,1472,94,12766,363808,
E12000002,North West,2016,1502,120,686,1,2188,122,12476,499296,
E12000003,Yorkshire and the Humber,2016,957,88,2494,5,3451,93,10849,514381,
E12000004,East Midlands,2016,14852,1119,8717,11,23569,1130,13271,768259,
E12000005,Wes tMidlands,2016,37565,2939,24301,31,61865,2970,12779,785288,
E12000006,East,2016,28827,2148,20912,24,49739,2172,13418,873840,
E12000007,London,2016,24059,1806,13822,19,37881,1825,13322,733961,
E12000008,South East,2016,28269,2143,16829,24,45098,2167,13190,710839,
E12000009,South West,2016,28082,2108,13697,22,41779,2130,13321,618491,
W92000019,Wales,2016,39875,3032,19870,42,59745,3074,25705,942793,
S92000018,Scotland,2016,44041,3266,17694,39,61734,3306,13484,447966,
K03000016,Great Britain,2016,21935,1894,10736,20,32672,1914,11578,541291,
E09000001,City of London,2016,13831,1139,8907,10,22737,1150,12142,848497,
E09000002,Barking and Dagenham,2016,27459,2043,18899,24,46358,2066,13442,798033,
E09000003,Barnet,2016,309628,23714,176953,269,486581,23983,13057,658901,
E09000004,Bexley,2017,28,2,828,1,856,3,11380,847118,
E09000005,Brent,2017,770,67,220,0,990,67,11531,451632,
E09000006,Bromley,2017,2212,129,547,2,2759,131,17157,255516,
E09000007,Camden,2017,1251,90,734,1,1985,91,13850,1099720,
E09000008,Croydon,2017,1547,103,519,1,2066,105,14972,440817,
E09000009,Ealing,2017,2062,131,379,1,2441,132,15762,284263,
E09000010,Enfield,2017,966,79,1419,3,2385,82,12215,526752,
E09000011,Greenwich,2017,2069,141,454,1,2524,142,14724,338328,
E09000012,Hackney,2017,1692,119,728,1,2420,120,14215,507331,
E09000013,Hammersmith and Fulham,2017,1589,109,524,1,2113,110,14600,481767,
E09000014,Haringey,2017,1152,93,455,1,1607,94,12353,519921,
E09000015,Harrow,2017,989,92,380,1,1370,93,10740,368174,
E09000016,Havering,2017,897,75,570,1,1468,76,11940,565029,
E09000017,Hillingdon,2017,1283,97,348,1,1631,98,13229,326768,
E09000018,Hounslow,2017,1442,84,243,1,1685,85,17200,265614,
E09000019,Islington,2017,1372,98,235,1,1607,98,14073,306508,
E09000020,Kensington and Chelsea,2017,1462,99,755,1,2217,100,14764,654057,
E09000021,Kingston upon Thames,2017,1188,85,577,1,1765,86,14010,533389,
E09000022,Lambeth,2017,916,88,680,1,1596,89,10448,544607,
E09000023,Lewisham,2017,883,70,870,2,1752,72,12660,352465,
E09000024,Merton,2017,903,61,241,1,1144,61,14917,309899,
E09000025,Newham,2017,1404,120,778,1,2182,122,11660,568551,
E09000026,Redbridge,2017,1347,110,344,1,1692,111,12211,390561,
E09000027,Richmond upon Thames,2017,1084,77,304,1,1388,78,14079,317358,
E09000028,Southwark,2017,1106,93,960,1,2066,94,11828,1066739,
E09000029,Sutton,2017,1467,95,242,1,1708,96,15449,288713,
E09000030,Tower Hamlets,2017,1205,78,308,1,1513,79,15391,284609,
E09000031,Waltham Forest,2017,1051,102,1024,1,2076,104,10296,697244,
E09000032,Wandsworth,2017,1054,72,263,1,1316,73,14571,374056,
E09000033,Westminster,2017,710,77,794,1,1504,78,9211,611329,
E12000001,North East,2017,1217,94,285,1,1503,95,12990,358978,
E12000002,North West,2017,1545,121,613,1,2158,122,12812,443060,
E12000003,Yorkshire and the Humber,2017,973,88,2645,5,3619,93,11054,544329,
E12000004,East Midlands,2017,15376,1130,9101,11,24477,1141,13612,807193,
E12000005,Wes tMidlands,2017,39081,2960,26742,31,65823,2991,13205,849415,
E12000006,East,2017,29957,2163,21282,24,51240,2188,13849,874275,
E12000007,London,2017,24874,1825,14348,19,39223,1845,13626,750943,
E12000008,South East,2017,29313,2162,16335,24,45648,2186,13558,676892,
E12000009,South West,2017,29120,2129,14860,23,43980,2152,13677,658024,
W92000020,Wales,2017,40838,3039,20266,42,61105,3081,26263,949380,
S92000019,Scotland,2017,45051,3300,18289,40,63340,3340,13651,459484,
K03000017,Great Britain,2017,22705,1917,11484,20,34189,1937,11846,569349,
E09000001,City of London,2017,14444,1147,9723,11,24167,1158,12589,905522,
E09000002,Barking and Dagenham,2017,28349,2066,19784,24,48133,2090,13721,818600,
E09000003,Barnet,2017,319949,23915,184326,272,504275,24188,13379,676686,
,,,,,,,,,,,
